Lemma	PoS	Freq(ipm)	R	D	Doc
джерси	s	0.5	26	72	28
джигит	s	1.4	54	85	77
джин	s	3.6	78	88	169
джинн	s	3.1	65	73	101
джинса	s	0.5	30	81	38
джинсы	s	19.4	94	92	665
джип	s	14.7	87	88	443
джихад	s	1.8	41	81	87
джойстик	s	0.7	30	78	40
джокер	s	0.6	31	81	32
джонка	s	0.5	19	48	19
джунгли	s	8.2	93	88	377
дзен	s	1.0	25	62	34
дзот	s	0.7	29	66	35
дзюдо	s	2.6	55	74	88
диабет	s	3.7	75	87	199
диабетик	s	0.7	34	76	45
диавол	s	0.9	32	70	50
диагноз	s	18.9	98	92	893
диагональ	s	4.2	97	90	269
диаграмма	s	8.6	83	75	317
диадема	s	0.8	33	80	45
диакон	s	2.8	43	74	111
диалект	s	2.9	74	89	176
диалог	s	38.4	99	92	1743
диамат	s	0.6	28	79	35
диаметр	s	25.4	99	85	987
диамин	s	0.6	3	9	4
диапазон	s	19.7	90	85	1039
диарея	s	0.8	25	63	33
диаспора	s	5.1	71	84	242
диатез	s	0.7	27	59	30
диафрагма	s	2.8	52	60	75
дива	s	1.7	64	89	123
диван	s	60.1	99	92	1347
диванчик	s	5.1	79	89	267
диверсант	s	4.0	70	87	172
диверсия	s	3.3	81	88	188
дивиденд	s	6.1	75	84	325
дивизион	s	10.8	83	86	269
дивизия	s	33.7	96	87	654
диво	s	4.2	90	90	265
дивчина	s	1.4	32	70	44
диггер	s	0.9	13	45	15
дидактика	s	0.5	25	71	30
диджей	s	0.7	28	67	35
диета	s	9.1	96	89	444
диетолог	s	0.7	32	82	47
дизайн	s	20.6	89	89	1015
дизайнер	s	16.3	88	90	783
дизель	s	7.1	82	77	240
дикарка	s	0.4	24	75	28
дикарь	s	7.4	93	84	292
дикобраз	s	0.5	26	71	32
диковина	s	1.3	60	87	82
диковинка	s	1.9	74	91	150
дикость	s	3.3	88	91	224
диктант	s	1.4	50	86	78
диктат	s	2.1	64	88	154
диктатор	s	6.4	82	90	330
диктатура	s	9.9	93	90	410
диктовка	s	1.8	70	90	133
диктор	s	5.6	90	91	301
дикторша	s	0.8	26	76	33
диктофон	s	4.1	73	84	199
дикция	s	1.4	63	89	98
дилемма	s	2.9	78	91	215
дилер	s	16.4	66	83	426
дилетант	s	4.4	90	82	233
дилижанс	s	0.8	29	80	36
димедрол	s	0.6	31	78	38
динамик	s	4.3	87	92	255
динамика	s	37.5	95	83	1506
динамит	s	1.6	67	89	106
динамо	s	12.5	88	84	363
динамовец	s	1.4	37	81	65
динар	s	0.5	25	79	29
династия	s	6.4	90	91	331
динго	s	0.5	15	47	16
динозавр	s	3.1	77	90	186
диод	s	1.0	23	75	33
диоксид	s	1.3	28	63	58
диоптрия	s	0.5	35	81	35
дипкорпус	s	0.4	22	77	28
диплом	s	25.8	100	94	1218
дипломант	s	0.4	25	80	33
дипломат	s	19.1	100	90	734
дипломник	s	0.7	36	81	42
диполь	s	0.4	13	65	18
директива	s	6.2	85	87	274
директор	s	222.2	100	93	6254
дирекция	s	10.6	92	88	452
дирижабль	s	2.0	52	79	88
дирижер	s	14.7	88	87	495
дисбаланс	s	2.0	53	86	138
диск	s	26.3	99	92	1055
дискант	s	0.6	29	72	37
дискета	s	2.8	56	73	94
диско	s	0.7	32	80	54
дисковод	s	0.4	24	79	27
дисконт	s	0.5	27	79	34
дискотека	s	7.4	91	92	409
дискурс	s	4.5	45	70	125
дискуссия	s	35.3	100	92	1695
диспансер	s	2.3	70	90	151
дисперсия	s	2.3	16	67	75
диспетчер	s	5.8	93	89	246
дисплей	s	4.7	71	85	245
диспут	s	3.6	85	88	197
диссидент	s	8.1	90	89	327
диссонанс	s	1.9	68	80	107
дистанция	s	21.1	99	92	978
дистрофик	s	0.8	39	66	47
дистрофия	s	1.0	46	84	65
дите	s	2.8	68	84	140
дитенок	s	0.4	21	68	25
дитя	s	41.8	100	91	1066
дитятко	s	0.5	25	76	32
дифирамб	s	0.9	46	87	73
дифракция	s	0.8	14	65	39
диффузия	s	2.3	30	73	102
дихотомия	s	0.8	27	76	44
дичок	s	0.6	29	75	34
дичь	s	5.0	88	90	283
длань	s	1.3	59	86	97
длина	s	67.7	100	76	2071
для	pr	3229.3	100	96	29661
дневник	s	38.8	100	92	916
днище	s	4.5	89	93	272
до	pr	2061.1	100	98	25054
добавка	s	11.4	95	87	546
доберман	s	0.5	27	78	34
добивание	s	0.4	19	63	25
доблесть	s	4.9	97	94	309
добро	s	59.0	100	95	1954
доброта	s	16.8	97	93	717
доброхот	s	1.0	49	86	68
добряк	s	1.3	56	87	94
добывание	s	2.2	77	86	139
добытчик	s	1.4	62	86	103
добыча	s	45.3	97	92	1603
доведение	s	2.8	60	85	205
доверие	s	41.6	100	95	1882
довесок	s	1.4	64	89	100
довод	s	17.6	100	94	926
доводка	s	1.7	56	87	119
довыборы	s	0.6	22	71	29
догадка	s	15.5	99	94	693
догма	s	4.6	83	88	232
догмат	s	3.6	63	68	129
догматик	s	0.6	33	81	42
догматика	s	0.5	24	75	37
договор	s	172.8	100	73	3254
додж	s	0.7	27	52	29
дождевик	s	1.1	36	74	53
дождик	s	5.7	86	88	313
дождичек	s	1.2	58	88	92
дождь	s	83.2	100	94	2143
доза	s	22.4	100	82	776
дозатор	s	0.6	28	75	37
дозировка	s	1.4	57	84	99
дознание	s	4.0	79	63	150
дозор	s	5.6	68	45	131
дозорный	s	1.4	29	65	37
дойка	s	0.6	35	84	44
дока	s	0.4	30	83	38
докер	s	0.5	21	75	23
доклад	s	65.1	99	93	1980
докладная	s	1.7	56	84	89
докладчик	s	6.2	88	91	297
доктор	s	143.1	100	90	2677
докторша	s	2.4	41	68	59
доктрина	s	10.5	89	88	455
докука	s	2.3	18	11	20
документ	s	226.8	100	90	6081
долг	s	96.2	100	95	3187
долгота	s	1.3	48	85	80
должник	s	22.5	94	72	411
должное	s	12.2	99	95	724
должность	s	84.6	100	91	2936
должок	s	1.1	41	83	70
долина	s	18.9	100	93	739
доллар	s	183.1	100	92	5010
долото	s	1.5	26	33	38
долька	s	4.2	67	77	138
дольмен	s	1.0	7	10	7
дольщик	s	0.7	19	61	23
доля	s	111.4	100	92	4314
домашние	s	4.3	90	93	282
домен	s	2.4	25	76	77
домик	s	39.8	98	94	1319
домина	s	0.5	32	81	36
доминанта	s	2.5	62	84	171
домино	s	3.4	77	89	184
домишко	s	3.4	78	90	216
домком	s	0.5	18	63	19
домкрат	s	1.3	51	83	77
домна	s	1.0	35	75	43
домовина	s	0.6	20	73	26
домовой	s	4.6	72	76	171
домосед	s	0.4	27	81	34
домострой	s	0.9	43	78	54
домоуправ	s	0.4	24	78	27
домофон	s	1.0	41	83	61
домочадец	s	3.0	84	92	217
домушник	s	0.5	25	77	29
домысел	s	3.3	84	91	224
дона	s	0.5	18	58	20
донесение	s	6.5	89	90	238
донец	s	1.3	50	79	62
донжуан	s	0.9	41	83	52
донка	s	0.4	15	66	17
донна	s	1.3	54	86	81
донор	s	7.5	70	79	259
донорство	s	0.4	19	74	21
донос	s	10.9	95	90	372
доносчик	s	2.0	61	88	112
донышко	s	3.2	71	89	201
доня	s	0.5	8	33	9
допинг	s	2.3	59	80	109
доплата	s	3.4	73	86	195
допрос	s	27.4	98	91	762
допуск	s	5.2	89	81	284
допущение	s	3.9	70	79	199
доработка	s	5.6	71	89	382
дорога	s	330.1	100	96	6034
дорогуша	s	1.1	34	77	52
дорожка	s	37.1	100	95	1367
дорожник	s	0.9	37	83	60
досада	s	16.5	96	91	690
доска	s	67.1	100	94	1759
досмотр	s	3.7	73	77	174
досочка	s	0.6	29	77	35
доспех	s	0.5	21	74	23
доспехи	s	3.7	81	86	181
доставка	s	18.6	96	88	900
достаток	s	6.3	98	94	442
достояние	s	10.8	98	93	738
достройка	s	0.6	29	81	45
доступ	s	33.5	100	90	1685
досуг	s	9.8	99	94	622
досчет	s	0.9	12	59	21
досье	s	5.1	87	90	256
дотация	s	4.8	70	89	308
доха	s	1.0	32	75	41
доход	s	103.6	100	89	3149
доходяга	s	2.2	45	75	67
доцент	s	11.2	99	76	413
доча	s	1.3	35	60	54
доченька	s	4.2	69	79	175
дочка	s	54.1	97	93	1557
дочурка	s	3.2	58	47	92
дочь	s	142.4	100	95	2662
дощечка	s	4.9	88	91	251
доярка	s	3.0	74	88	155
драглайн	s	0.4	7	43	9
драгун	s	0.4	22	76	28
драже	s	0.5	25	78	26
драйв	s	1.5	47	83	98
драйвер	s	0.7	24	65	36
драка	s	23.6	99	94	977
дракон	s	16.6	97	85	431
дракончик	s	0.5	23	75	27
драма	s	22.6	99	91	945
драматург	s	13.3	90	88	477
драмтеатр	s	0.8	44	85	60
драндулет	s	0.5	32	83	41
дранка	s	0.6	32	82	46
драп	s	0.5	27	80	32
дратва	s	0.5	23	67	27
драфт	s	0.6	13	54	15
драхма	s	0.6	24	75	30
драчун	s	1.2	53	87	88
дребедень	s	1.7	68	89	125
дребезг	s	0.5	30	81	37
древесина	s	16.5	90	78	437
древко	s	1.5	50	85	88
древлянин	s	0.6	12	42	13
древние	s	1.5	74	91	121
древность	s	12.0	97	89	580
древо	s	5.0	91	89	262
древостой	s	6.2	27	70	99
дредноут	s	0.5	26	77	30
дрезина	s	1.2	30	74	41
дрейф	s	1.9	54	81	88
дрель	s	1.4	45	79	63
дрема	s	2.5	70	89	170
дремота	s	1.9	63	87	127
дренаж	s	1.3	41	81	76
дрессура	s	0.7	14	44	22
дробилка	s	2.6	27	63	37
дробина	s	0.4	13	40	14
дробление	s	3.1	53	76	128
дробовик	s	0.5	28	81	33
дробь	s	6.8	89	90	341
дрова	s	25.8	99	93	875
дровишки	s	1.1	50	82	72
дровни	s	0.5	14	64	18
дровосек	s	0.8	39	71	46
дрога	s	0.4	24	80	28
дрожание	s	1.3	60	89	92
дрожжи	s	4.8	93	91	274
дрожки	s	0.5	24	75	31
дрожь	s	12.5	93	91	602
дрозд	s	2.7	52	76	87
дрозофила	s	0.8	21	61	25
дрок	s	0.4	14	58	16
дроссель	s	0.4	21	75	23
дротик	s	0.8	32	73	38
дрофа	s	0.4	17	71	24
друг	s	874.2	100	97	9689
друган	s	0.5	21	70	29
другие	spro	0.9	51	88	70
другое	spro	49.6	97	85	2181
дружба	s	59.0	100	96	1956
дружбан	s	0.5	19	73	23
дружина	s	9.6	95	74	248
дружинник	s	5.1	63	68	107
дружище	s	3.6	59	77	132
дружка	s	10.8	89	89	447
дружок	s	10.2	89	90	457
дружочек	s	2.0	38	56	59
друз	s	0.4	10	39	11
друид	s	0.5	21	68	26
дрын	s	0.4	22	78	28
дрязги	s	1.1	55	88	82
дрянь	s	11.9	88	91	552
дряхлость	s	0.5	26	79	35
дубина	s	4.0	80	89	227
дубинка	s	5.1	85	89	253
дубление	s	0.8	9	30	11
дубленка	s	4.5	73	85	183
дублер	s	2.5	58	82	119
дубликат	s	1.6	53	77	86
дубль	s	5.3	70	77	159
дубляж	s	0.5	22	78	29
дубненец	s	2.1	34	77	108
дубняк	s	0.4	22	78	26
дубок	s	0.9	41	82	57
дубрава	s	1.8	49	74	74
дувал	s	0.5	17	57	19
дуга	s	12.2	98	89	556
дуда	s	1.2	40	59	52
дудаевец	s	0.7	17	52	21
дудка	s	2.5	75	89	167
дудник	s	0.5	16	61	19
дудочка	s	1.6	55	83	95
дужка	s	2.1	58	87	124
дукат	s	0.5	26	80	32
дуло	s	4.8	81	90	256
дуля	s	0.9	38	73	48
дума	s	85.5	100	91	3153
думец	s	2.6	44	84	159
думка	s	0.7	35	82	45
дуновение	s	2.6	76	90	185
дупло	s	2.6	66	87	132
дура	s	29.5	91	89	852
дурак	s	69.8	97	92	1729
дуралей	s	0.7	35	77	48
дурачок	s	7.7	85	89	391
дурачье	s	0.4	21	78	27
дурашка	s	0.5	21	74	27
дурдом	s	2.5	65	85	140
дурень	s	2.4	61	85	133
дуреха	s	1.2	37	83	71
дурка	s	0.4	18	64	22
дурман	s	1.8	68	89	116
дурнота	s	1.0	46	84	67
дурнушка	s	0.6	34	84	45
дурость	s	1.9	63	86	133
дурочка	s	6.1	77	88	294
дурошлеп	s	0.5	5	8	5
дуршлаг	s	1.2	36	65	45
дурь	s	5.8	85	91	299
дуст	s	0.5	29	79	34
дутье	s	0.4	12	37	14
духи	s	22.3	99	94	787
духовик	s	0.4	20	74	22
духовка	s	6.2	79	83	232
духовник	s	3.8	56	67	126
духота	s	5.9	84	91	323
дуче	s	0.4	18	70	18
душа	s	356.8	100	94	5830
душевая	s	1.7	60	86	101
душегуб	s	0.9	41	84	61
душегубка	s	0.6	31	78	38
душенька	s	1.1	47	80	68
душечка	s	0.6	36	82	42
душитель	s	0.5	34	84	38
душица	s	0.6	28	77	34
душка	s	1.0	42	78	59
душман	s	1.2	35	74	44
душок	s	1.5	61	89	116
душонка	s	0.6	35	84	47
дуэль	s	9.0	93	90	381
дуэлянт	s	0.8	37	81	56
дуэт	s	9.3	83	88	429
дхарма	s	0.6	20	64	20
дыба	s	1.2	52	87	72
дыбы	s	2.3	74	90	166
дылда	s	0.9	40	78	60
дымка	s	6.3	86	92	373
дымок	s	7.5	81	89	391
дымосос	s	0.4	4	10	4
дымоход	s	1.3	55	87	85
дыня	s	4.1	76	84	177
дыра	s	31.6	98	92	1117
дырка	s	22.7	97	78	634
дырокол	s	1.1	18	33	20
дырочка	s	6.9	87	90	367
дыхание	s	54.6	100	94	1708
дыханье	s	1.4	60	86	86
дышло	s	0.8	50	87	62
дьявол	s	19.3	98	90	647
дьяк	s	1.4	31	67	42
дьякон	s	1.8	56	82	93
дьячок	s	0.6	35	78	40
дюжина	s	7.6	91	92	413
дюйм	s	3.9	68	80	163
дюна	s	2.0	61	86	109
дяденька	s	4.3	84	90	218
дядечка	s	1.5	53	83	71
дядик	s	1.3	21	45	35
дядька	s	11.8	89	87	410
дядюшка	s	7.9	70	71	179
дядя	s	107.5	100	90	1479
дятел	s	3.1	74	79	128
евангелие	s	25.3	93	53	622
евнух	s	2.2	42	49	56
евразиец	s	0.4	20	76	25
еврей	s	84.1	100	91	1146
еврейка	s	5.0	79	91	212
еврейство	s	3.2	66	85	122
евро	s	18.0	69	88	665
европеец	s	12.4	95	91	686
евротур	s	0.4	11	66	14
егерь	s	3.7	54	74	94
египтянин	s	3.1	67	84	147
единение	s	5.9	95	92	375
единица	s	52.4	100	88	2203
единорог	s	1.2	32	49	38
единорос	s	0.4	15	56	16
единоросс	s	3.4	38	82	170
единство	s	40.9	99	90	1648
едок	s	1.4	54	88	95
ежевика	s	2.2	51	77	78
ежегодник	s	1.3	33	76	86
ежик	s	10.8	80	67	249
ежовщина	s	0.4	18	67	20
езда	s	11.4	94	94	708
ездовой	s	1.0	27	61	36
ездок	s	0.8	39	84	58
елань	s	0.4	9	55	11
елей	s	0.8	39	78	63
елец	s	1.0	41	74	48
елка	s	22.3	98	92	685
елочка	s	5.1	89	91	254
ельник	s	2.6	61	84	106
емкость	s	13.3	97	91	741
енот	s	0.9	38	76	52
епархия	s	11.1	74	83	265
епископ	s	19.2	87	78	389
епископат	s	0.5	25	77	35
епитимия	s	0.5	4	9	5
епитимья	s	0.6	20	52	24
ералаш	s	0.5	22	73	26
ересь	s	4.5	82	86	204
еретик	s	2.6	63	83	130
ерик	s	0.4	9	56	10
ермолка	s	0.6	28	77	33
ерунда	s	23.1	95	91	912
ершик	s	0.4	25	74	25
есаул	s	1.0	34	76	39
ессей	s	0.7	7	35	7
естество	s	4.8	87	80	250
ефрейтор	s	4.4	60	72	101
ехидство	s	1.6	65	88	123
жаба	s	4.4	86	87	198
жабо	s	0.6	33	79	43
жабра	s	2.9	53	58	103
жаворонок	s	3.0	76	84	132
жадность	s	9.1	93	93	520
жажда	s	20.0	97	95	926
жакет	s	2.4	66	88	131
жакетка	s	0.4	21	74	26
жалкость	s	0.4	13	65	19
жало	s	2.3	74	88	149
жалоба	s	40.1	100	81	1331
жалобщик	s	0.5	32	83	42
жалование	s	1.3	50	83	72
жалованье	s	4.8	91	91	257
жалость	s	23.5	96	92	919
жалюзи	s	2.1	63	86	112
жандарм	s	5.0	81	84	155
жанр	s	36.0	100	91	1394
жара	s	30.5	100	94	1128
жаргон	s	4.1	89	92	261
жарища	s	0.5	30	81	39
жарка	s	0.8	30	77	44
жаркое	s	1.0	51	86	73
жаровня	s	1.4	56	85	85
жасмин	s	2.3	72	88	123
жатва	s	1.5	59	81	99
жатка	s	0.4	15	65	18
жбан	s	0.5	26	73	28
жвачка	s	3.7	85	91	236
жгут	s	3.6	81	88	190
жгутик	s	0.6	18	60	25
жезл	s	3.5	77	86	166
желаемое	s	1.2	62	89	107
желание	s	143.6	100	97	4988
желанье	s	0.9	49	86	59
желатин	s	1.3	32	67	39
желающий	s	16.4	100	93	1163
желвак	s	3.0	62	80	170
желе	s	2.1	60	75	94
железа	s	14.7	95	64	357
железка	s	4.5	84	88	237
железняк	s	0.5	30	82	36
железо	s	28.6	100	94	1079
железяка	s	2.0	62	88	144
желоб	s	2.5	64	84	102
желобок	s	1.1	41	72	58
желтизна	s	2.5	67	88	172
желток	s	3.3	80	83	159
желтуха	s	1.0	43	81	57
желудок	s	22.0	99	93	881
желудочек	s	1.7	29	38	39
желудь	s	1.7	59	85	91
желчь	s	2.1	81	90	146
жеманство	s	0.4	29	82	32
жемчуг	s	5.1	90	88	237
жемчужина	s	6.8	91	88	310
жена	s	376.8	100	94	4361
женатик	s	0.4	22	67	24
женитьба	s	8.6	96	92	416
жених	s	25.2	98	88	726
женишок	s	0.4	20	77	23
женка	s	0.6	30	81	44
женсовет	s	0.6	22	65	24
женушка	s	0.8	42	85	59
женщина	s	533.3	100	95	6029
женьшень	s	0.7	30	74	39
жердина	s	0.6	26	77	35
жердочка	s	1.0	50	86	69
жердь	s	3.6	71	87	165
жеребенок	s	1.6	54	84	78
жеребец	s	6.2	72	84	204
жеребчик	s	0.4	24	79	28
жерех	s	0.5	16	47	17
жерло	s	1.6	63	86	110
жернов	s	2.5	77	87	148
жертва	s	79.3	100	95	2913
жест	s	45.2	100	94	1398
жесткость	s	7.2	92	90	450
жесть	s	3.2	81	90	222
жестянка	s	2.2	62	88	129
жетон	s	3.4	69	69	120
жетончик	s	0.7	21	40	24
жжение	s	1.2	45	84	76
живец	s	0.6	27	79	37
живность	s	3.1	90	92	229
живодер	s	0.8	38	81	52
живодерня	s	0.4	21	77	24
живой	s	1.8	40	50	73
живописец	s	6.3	91	89	305
живопись	s	25.8	100	91	886
живость	s	2.9	85	91	206
живот	s	65.6	99	92	1567
животик	s	3.0	72	73	163
животина	s	0.7	41	85	61
животное	s	95.9	100	91	2329
живучесть	s	5.2	75	57	188
живучка	s	0.6	13	39	19
живчик	s	0.5	24	70	31
жигуленок	s	2.0	54	83	97
жигуль	s	1.4	44	78	62
жидкость	s	31.9	100	89	1145
жидовка	s	0.4	23	73	27
жижа	s	3.5	72	89	199
жизнь	s	1389.8	100	96	14894
жизня	s	0.4	24	78	27
жила	s	9.1	94	91	505
жилет	s	5.0	84	90	253
жилетка	s	2.5	76	89	170
жилец	s	20.4	100	93	848
жилище	s	17.1	98	94	820
жилка	s	7.1	86	62	272
жилочка	s	0.5	25	77	35
жилфонд	s	0.4	24	73	26
жилье	s	61.1	100	92	2062
жимолость	s	1.3	44	84	72
жинка	s	1.0	31	76	43
жираф	s	2.6	70	86	125
жирафа	s	0.5	16	56	18
жирность	s	1.0	48	83	61
жирок	s	1.0	62	90	86
жисть	s	1.7	48	78	70
жись	s	0.4	12	64	15
житель	s	94.9	100	94	4129
житие	s	7.3	72	71	238
житница	s	0.5	31	81	36
жито	s	0.5	25	78	27
житуха	s	0.6	35	84	48
житье	s	4.3	89	90	275
жлоб	s	1.9	59	87	104
жмот	s	0.9	40	81	57
жмурик	s	1.1	26	62	34
жмурки	s	0.4	29	83	34
жмых	s	0.5	31	83	42
жнивье	s	0.4	25	80	28
жокей	s	0.7	32	79	39
жонглер	s	1.9	46	78	69
жопа	s	8.8	74	82	298
жратва	s	3.6	71	88	177
жребий	s	4.0	85	91	228
жрец	s	8.1	84	79	219
жрица	s	2.0	54	57	76
жужжание	s	1.8	59	88	131
жулик	s	7.7	89	92	368
жулье	s	1.1	51	83	69
жупел	s	1.0	37	62	51
журавль	s	5.2	90	88	257
журнал	s	162.0	100	94	4606
журналист	s	97.0	100	90	3235
журналюга	s	0.6	33	82	41
журфак	s	0.7	38	84	54
журчание	s	1.5	64	89	117
журчанье	s	0.4	21	76	25
жуть	s	5.1	83	89	307
жучка	s	1.0	41	80	50
жучок	s	3.7	79	89	173
жюльен	s	0.5	24	78	30
жюри	s	13.1	75	86	477
за	pr	3904.1	100	98	29062
забава	s	11.0	96	86	573
забвение	s	7.3	98	93	455
забвенье	s	0.5	37	84	42
забег	s	1.6	57	86	99
забивание	s	0.4	30	83	37
забияка	s	0.6	32	83	41
забой	s	6.7	76	80	171
забойщик	s	0.5	26	77	30
забор	s	48.3	99	92	1380
заборчик	s	1.6	65	88	109
забота	s	60.5	100	96	2423
забрало	s	1.7	61	87	103
заброс	s	0.4	24	79	28
заброска	s	0.7	21	68	21
забулдыга	s	0.6	38	85	51
забытье	s	3.8	69	89	235
завал	s	6.4	91	86	322
завалинка	s	2.0	60	85	120
заварка	s	2.5	71	89	162
заваруха	s	0.9	40	85	62
заварушка	s	0.5	31	82	44
заведение	s	39.6	100	93	1722
заверение	s	4.2	85	91	313
завеса	s	4.8	92	93	336
завет	s	17.9	96	72	619
завещание	s	10.9	92	74	346
завивка	s	0.9	47	85	60
зависание	s	0.5	26	75	36
завистник	s	2.1	80	92	153
зависть	s	23.2	99	95	1027
завиток	s	2.9	74	90	175
завитушка	s	1.4	60	89	104
завком	s	0.4	19	74	25
завлаб	s	0.7	26	76	33
завлит	s	0.9	31	75	42
завмаг	s	0.5	25	74	31
завод	s	164.0	100	93	3940
заводик	s	1.5	57	88	102
заводила	s	1.3	65	89	106
заводчик	s	0.8	35	80	53
заводь	s	1.9	65	88	124
завоз	s	1.4	53	85	98
заворот	s	0.7	38	84	51
завтрак	s	28.3	97	94	1081
завуч	s	3.7	63	81	135
завхоз	s	4.0	73	85	171
завывание	s	1.6	56	88	127
завышение	s	0.9	36	82	67
завязка	s	3.9	91	93	283
завязь	s	0.9	33	77	49
загадка	s	25.7	99	95	1198
загар	s	6.1	85	90	309
загашник	s	0.5	33	82	42
загвоздка	s	1.6	72	91	135
загиб	s	1.1	51	84	66
заглавие	s	3.6	81	90	218
заглушка	s	1.0	25	49	40
заговор	s	15.6	99	93	591
заголовок	s	9.6	100	94	583
загон	s	3.4	87	91	194
загончик	s	0.4	23	79	30
загорание	s	0.6	25	76	33
загород	s	0.4	19	71	23
загородка	s	1.6	54	83	96
заготовка	s	16.1	94	88	601
заграница	s	5.7	93	93	363
загранка	s	0.5	26	79	34
загривок	s	2.8	66	88	169
загрузка	s	7.3	76	86	426
загс	s	7.1	92	91	363
загул	s	1.5	59	88	107
задание	s	50.5	100	92	1789
задаток	s	4.1	86	81	190
задача	s	282.4	100	90	8142
задачка	s	3.2	85	91	209
задачник	s	0.5	27	80	37
задвижка	s	3.1	67	74	149
задворки	s	3.1	87	92	217
задел	s	2.2	70	89	165
заделка	s	0.5	25	76	33
задержка	s	14.8	99	92	789
задник	s	2.4	74	90	163
задница	s	12.7	89	90	520
задок	s	0.6	35	83	46
задор	s	2.8	85	92	212
задоринка	s	0.8	49	87	70
задохлик	s	0.4	13	42	15
задумка	s	2.7	74	89	197
заезд	s	6.3	75	75	240
заем	s	10.5	84	88	458
заемщик	s	7.4	53	77	153
зажатость	s	0.4	20	76	26
зажигалка	s	10.7	85	87	388
зажигание	s	4.2	87	92	254
зажим	s	4.0	77	70	152
зазор	s	4.0	87	84	233
зазрение	s	0.9	52	87	71
зазубрина	s	0.6	33	75	41
зазывала	s	0.4	23	77	26
заика	s	1.8	44	63	75
заикание	s	1.4	42	70	55
заимка	s	1.0	24	68	28
зайка	s	3.8	44	68	62
займище	s	0.8	16	67	17
зайчик	s	6.8	91	85	299
зайчишка	s	0.9	21	56	30
зайчонок	s	0.7	29	74	39
закавыка	s	0.6	45	87	52
заказ	s	56.0	100	93	2530
заказник	s	0.8	29	75	47
заказуха	s	0.5	21	74	28
заказчик	s	39.7	98	87	1543
заказчица	s	0.6	23	72	28
закалка	s	2.7	87	91	192
закат	s	18.3	96	93	829
закачка	s	0.8	22	72	43
закваска	s	1.7	65	87	112
закидон	s	0.5	29	81	36
закипание	s	0.4	17	61	18
закись	s	0.6	11	45	15
заклад	s	1.4	54	70	78
закладка	s	4.9	92	89	285
закладная	s	0.6	26	76	31
заклание	s	1.2	57	88	98
заклепка	s	1.2	62	89	89
заклятие	s	1.3	39	71	48
заколка	s	1.6	60	87	104
закон	s	433.4	100	90	8195
законник	s	1.9	48	75	80
закорки	s	0.4	25	80	31
закорючка	s	1.5	58	87	97
закоулок	s	4.2	91	91	281
закройщик	s	0.9	32	65	36
закром	s	1.6	66	90	113
закрутка	s	0.5	31	82	35
закрытие	s	12.5	97	92	809
закулиса	s	0.4	21	75	24
закулисье	s	0.4	28	81	37
закупка	s	14.1	88	90	786
закупорка	s	0.5	33	82	36
закуска	s	15.0	96	93	711
закусь	s	0.8	38	83	53
закут	s	0.4	17	75	26
закуток	s	3.6	74	89	209
зала	s	4.3	85	91	231
залегание	s	2.0	41	76	102
залежь	s	6.3	72	78	192
залив	s	16.1	99	92	651
заливка	s	1.7	38	52	64
заливное	s	0.4	25	81	30
заливчик	s	0.4	15	66	18
залог	s	20.3	99	77	874
заложение	s	0.8	22	73	47
заложник	s	19.9	96	90	695
заложница	s	1.1	44	83	70
залом	s	0.5	15	57	18
залп	s	10.2	94	90	487
залысина	s	1.1	46	84	79
зальце	s	0.5	19	59	21
зальчик	s	1.1	51	86	68
замазка	s	0.7	33	77	42
замах	s	1.6	62	88	106
замашка	s	2.2	73	89	164
замглавы	s	2.4	39	81	169
замена	s	35.7	98	89	1751
замер	s	3.1	73	88	197
замес	s	0.7	40	85	52
заместо	pr	1.1	44	85	77
заметка	s	25.7	100	93	1155
замечание	s	36.9	100	91	1502
замещение	s	3.9	62	84	228
заминка	s	2.9	81	92	215
замирание	s	1.9	74	90	159
замирение	s	0.6	29	81	36
замок	s	60.8	100	93	1617
заморозка	s	0.6	38	84	55
заморозок	s	3.8	88	92	262
заморочка	s	1.3	57	83	94
заморыш	s	0.5	30	81	35
замочек	s	1.5	55	86	98
замполит	s	3.9	59	81	105
зампред	s	5.7	56	80	345
замша	s	1.5	53	83	85
замыкание	s	2.7	80	88	169
замысел	s	36.9	98	94	1578
занавес	s	15.9	97	92	732
занавеска	s	15.7	88	90	659
занавесь	s	1.6	59	85	96
заначка	s	1.5	63	88	110
занесение	s	0.9	46	83	68
занижение	s	1.2	42	84	78
заноза	s	2.1	72	89	147
занос	s	2.3	71	89	153
зануда	s	2.9	72	90	197
занудство	s	0.9	50	87	71
занятие	s	92.1	100	95	2966
занятость	s	16.8	95	83	626
заочник	s	0.5	24	74	34
запад	s	88.9	100	93	2911
западло	s	0.7	35	83	49
западник	s	2.3	64	86	133
западня	s	2.3	73	89	139
запал	s	2.5	80	91	183
запарка	s	0.6	40	86	49
запас	s	67.8	100	93	2651
запаска	s	0.8	43	84	63
запасник	s	1.7	70	89	121
запасной	s	0.8	47	87	62
запах	s	94.1	100	93	2122
запашок	s	0.7	36	84	50
запев	s	0.4	24	78	32
запевала	s	0.6	28	79	42
запеканка	s	0.6	30	80	36
запечье	s	0.4	11	44	11
запинка	s	1.7	66	89	132
запирание	s	0.5	20	70	27
записка	s	58.6	100	95	1477
записочка	s	2.3	71	88	133
запись	s	71.0	100	90	1930
заплата	s	2.6	75	87	156
заплатка	s	1.0	45	84	66
